,date,actions
0,2021-07-06,[24]
1,2021-07-07,[6]
2,2021-07-08,[-32]
3,2021-07-09,[92]
4,2021-07-12,[-17]
5,2021-07-13,[-100]
6,2021-07-14,[-100]
7,2021-07-15,[-34]
8,2021-07-16,[100]
9,2021-07-19,[0]
10,2021-07-20,[-100]
11,2021-07-21,[54]
12,2021-07-22,[61]
13,2021-07-23,[-9]
14,2021-07-26,[8]
15,2021-07-27,[-31]
16,2021-07-28,[100]
17,2021-07-29,[70]
18,2021-07-30,[41]
19,2021-08-02,[15]
20,2021-08-03,[0]
21,2021-08-04,[-100]
22,2021-08-05,[74]
23,2021-08-06,[-26]
24,2021-08-09,[51]
25,2021-08-10,[0]
26,2021-08-11,[-100]
27,2021-08-12,[28]
28,2021-08-13,[-50]
29,2021-08-16,[-100]
30,2021-08-17,[100]
31,2021-08-18,[53]
32,2021-08-19,[36]
33,2021-08-20,[38]
34,2021-08-23,[-84]
35,2021-08-24,[84]
36,2021-08-25,[0]
37,2021-08-26,[0]
38,2021-08-27,[-49]
39,2021-08-30,[48]
40,2021-08-31,[-100]
41,2021-09-01,[99]
42,2021-09-02,[-100]
43,2021-09-03,[-87]
44,2021-09-07,[-100]
45,2021-09-08,[31]
46,2021-09-09,[-100]
47,2021-09-10,[-52]
48,2021-09-13,[83]
49,2021-09-14,[100]
50,2021-09-15,[100]
51,2021-09-16,[100]
52,2021-09-17,[-100]
53,2021-09-20,[100]
54,2021-09-21,[23]
55,2021-09-22,[-13]
56,2021-09-23,[13]
57,2021-09-24,[0]
58,2021-09-27,[0]
59,2021-09-28,[-100]
60,2021-09-29,[-80]
61,2021-09-30,[0]
