account_rewards,date
5943.765120018041,2021-10-04
-1776.192910644575,2021-10-05
12635.120831005159,2021-10-06
161.5163908653194,2021-10-07
-7244.886247757007,2021-10-08
-4061.6810059814015,2021-10-11
-9835.638430526713,2021-10-12
21374.48857836146,2021-10-13
15464.538755806047,2021-10-14
508.0615958175622,2021-10-15
6734.420248210896,2021-10-18
12936.992245311732,2021-10-19
543.3800176047953,2021-10-20
15677.461131362943,2021-10-21
-3535.937243286171,2021-10-22
-2721.3571936797816,2021-10-25
-8318.085457752226,2021-10-26
8724.872177124023,2021-10-27
5548.093502044678,2021-10-28
-997.030590057373,2021-10-29
1082.9724082946777,2021-11-01
1628.7391052246094,2021-11-02
4314.947303772089,2021-11-03
2394.05214731209,2021-11-04
13349.416175842285,2021-11-05
-2407.754638671875,2021-11-08
-7284.240364074707,2021-11-09
108.89921569824219,2021-11-10
4415.831558227539,2021-11-11
-2973.025245666504,2021-11-12
-3981.586441040039,2021-11-15
-5908.5685958862305,2021-11-16
-4817.684234619141,2021-11-17
-11288.632598876953,2021-11-18
-3211.4470443725586,2021-11-19
6157.6433029174805,2021-11-22
4482.436561584473,2021-11-23
-43862.748596191406,2021-11-24
4570.193893432617,2021-11-26
-18593.256492614746,2021-11-29
-12938.281951904297,2021-11-30
19416.13060760498,2021-12-01
1162.6013261260232,2021-12-02
18228.916549682617,2021-12-03
17441.540451049805,2021-12-06
3835.154251098633,2021-12-07
-938.6028518676758,2021-12-08
3534.8694610595703,2021-12-09
-9290.599230987485,2021-12-10
-1995.5056457519531,2021-12-13
10214.472351074219,2021-12-14
-1232.9642791748047,2021-12-15
-15761.276229858398,2021-12-16
-16619.03832790372,2021-12-17
20452.62535095215,2021-12-20
10113.732046630816,2021-12-21
6920.469100952148,2021-12-22
6842.249122619629,2021-12-23
2511.54052734375,2021-12-27
2278.531105041504,2021-12-28
-1857.5507437362103,2021-12-29
-2294.1254653930664,2021-12-30
